Minute Index,Device Category,Region,Sessions,Revenue
69,tablet,Queensland,1,0
69,tablet,South Carolina,1,0
70,desktop,(not set),2,0
70,desktop,Western Australia,1,0
70,mobile,South Australia,1,0
70,mobile,Victoria,1,198
70,mobile,Western Australia,1,0
70,mobile,Auckland,1,0
70,tablet,Victoria,1,0
70,tablet,Western Australia,2,0
71,mobile,New South Wales,3,0
71,mobile,Victoria,2,0
71,mobile,Western Australia,2,0
71,tablet,Western Australia,3,0
72,desktop,Victoria,2,0
72,mobile,Queensland,1,0
72,mobile,Victoria,1,0
72,mobile,Western Australia,1,0
72,mobile,England,1,0
72,mobile,Canterbury,1,0
73,desktop,(not set),0,57
73,desktop,New South Wales,1,0
73,desktop,Western Australia,1,0
73,desktop,England,0,306
73,desktop,Andhra Pradesh,1,0
73,mobile,New South Wales,2,0
73,mobile,Queensland,1,0
73,mobile,Victoria,2,0
73,mobile,Western Australia,3,0
73,tablet,Victoria,1,0
73,tablet,England,1,0
74,desktop,Victoria,1,0
74,desktop,Western Australia,1,0
74,desktop,Santiago Metropolitan Region,1,0
74,mobile,New South Wales,3,0
74,mobile,Queensland,2,0
74,mobile,Victoria,4,0
74,mobile,Western Australia,2,0
74,mobile,England,1,0
74,mobile,Erbil Governorate,1,0
74,tablet,Western Australia,2,0
75,desktop,New South Wales,1,0
75,desktop,England,1,0
75,mobile,(not set),1,0
75,mobile,New South Wales,1,0
75,mobile,Queensland,1,0
75,mobile,Victoria,2,0
75,mobile,Western Australia,3,0
75,tablet,Queensland,2,0
75,tablet,Western Australia,1,0
76,desktop,Queensland,1,0
76,desktop,Western Australia,1,0
76,mobile,New South Wales,2,0
76,mobile,Queensland,1,0
76,mobile,Western Australia,1,0
76,tablet,New South Wales,1,0
76,tablet,Victoria,1,0
76,tablet,Western Australia,2,0
77,desktop,New South Wales,1,0
77,mobile,Australian Capital Territory,1,0
77,mobile,New South Wales,1,0
77,mobile,Victoria,1,0
77,mobile,Western Australia,3,0
77,mobile,England,0,122
77,tablet,Western Australia,1,0
77,tablet,England,1,0
77,tablet,Canterbury,1,0
78,desktop,Western Australia,1,0
78,mobile,New South Wales,2,0
78,mobile,Victoria,1,0
78,mobile,Western Australia,1,0
78,tablet,Ontario,1,0
79,desktop,New South Wales,1,0
79,mobile,(not set),1,0
79,mobile,New South Wales,1,0
79,mobile,Queensland,1,0
79,mobile,South Australia,1,0
79,mobile,Victoria,2,0
79,mobile,Western Australia,4,0
79,mobile,Uttar Pradesh,1,0
79,tablet,New South Wales,2,0
79,tablet,England,1,0
79,tablet,Skane County,1,0
80,desktop,New South Wales,1,0
80,mobile,(not set),1,0
80,mobile,New South Wales,1,0
80,mobile,South Australia,2,0
80,mobile,Victoria,3,0
81,desktop,New South Wales,1,0
81,desktop,Tasmania,1,0
81,mobile,New South Wales,1,0
81,mobile,Queensland,4,0
81,mobile,Victoria,1,0
81,mobile,Western Australia,1,0
81,mobile,County Dublin,1,0
81,tablet,South Australia,1,0
82,desktop,Western Australia,1,0
82,mobile,New South Wales,1,0
82,mobile,Victoria,2,0
82,mobile,Western Australia,2,0
82,mobile,Minnesota,1,0
82,tablet,Western Australia,1,0
82,tablet,County Dublin,1,0
83,desktop,New South Wales,1,0
83,desktop,Victoria,1,0
83,desktop,Western Australia,1,0
83,mobile,New South Wales,1,0
83,tablet,New South Wales,1,0
84,desktop,(not set),1,0
84,desktop,New South Wales,1,0
84,mobile,Queensland,1,0
84,mobile,Victoria,2,0
84,mobile,Western Australia,1,0
84,mobile,Auckland,1,0
85,desktop,New South Wales,2,172
85,desktop,Victoria,1,0
85,mobile,(not set),1,0
85,mobile,New South Wales,1,0
85,mobile,Queensland,2,0
85,mobile,Victoria,1,0
85,mobile,Western Australia,3,0
85,mobile,Texas,1,0
85,mobile,Dubai,1,0
85,tablet,New South Wales,1,0
85,tablet,Victoria,2,0
86,desktop,Victoria,1,0
86,mobile,Victoria,1,0
86,tablet,New South Wales,1,0
87,desktop,England,1,0
87,mobile,New South Wales,3,0
87,mobile,South Australia,1,0
87,mobile,Victoria,1,0
87,mobile,Western Australia,2,0
87,mobile,Abruzzo,1,0
87,tablet,Victoria,1,0
88,desktop,Victoria,1,0
88,mobile,New South Wales,2,0
88,mobile,Queensland,1,0
88,mobile,Victoria,2,0
88,mobile,Western Australia,2,0
88,mobile,Hokkaido,1,0
88,tablet,(not set),1,0
89,desktop,Queensland,1,0
89,desktop,Victoria,1,0
89,desktop,England,1,0
89,mobile,New South Wales,1,0
89,mobile,Queensland,3,0
89,mobile,Victoria,4,0
89,mobile,Western Australia,3,0
90,desktop,Victoria,1,0
90,mobile,New South Wales,3,0
90,mobile,Victoria,5,0
90,mobile,Western Australia,3,0
90,tablet,South Australia,1,0
90,tablet,Victoria,1,0
91,desktop,Western Australia,1,0
91,desktop,England,1,0
91,mobile,New South Wales,6,0
91,mobile,Queensland,3,0
91,mobile,South Australia,2,0
91,mobile,Western Australia,2,400
91,tablet,Western Australia,0,119.14
92,desktop,Western Australia,1,0
92,desktop,Saxony-Anhalt,1,0
92,mobile,Victoria,4,0
92,mobile,Western Australia,1,0
93,desktop,Western Australia,1,0
93,desktop,England,1,0
93,mobile,New South Wales,2,0
93,mobile,Queensland,1,0
93,mobile,South Australia,1,0
93,mobile,Victoria,1,0
93,mobile,Western Australia,1,0
93,mobile,Tokyo,1,0
93,mobile,California,1,0
93,mobile,Wellington,1,0
93,tablet,Baden-Wurttemberg,1,0
93,tablet,England,1,0
94,desktop,New South Wales,1,0
94,mobile,Victoria,1,0
94,tablet,Victoria,1,0
94,tablet,Western Australia,2,0
95,desktop,Queensland,1,0
95,desktop,Western Australia,1,0
95,mobile,Victoria,2,0
95,mobile,Tokyo,1,0
96,desktop,Ile-de-France,0,66.86
96,mobile,New South Wales,1,0
96,mobile,Victoria,1,0
96,mobile,Western Australia,1,0
96,mobile,Andalusia,1,0
96,mobile,England,1,0
96,mobile,Attica,1,0
96,tablet,South Australia,1,0
97,desktop,Wales,1,0
97,mobile,New South Wales,1,0
97,mobile,Victoria,1,0
97,mobile,Western Australia,1,0
97,mobile,Andalusia,1,0
97,tablet,Western Australia,1,0
97,tablet,Shanghai,1,0
98,mobile,South Australia,1,0
98,mobile,Western Australia,2,0
99,desktop,New South Wales,1,0
99,desktop,Ontario,1,0
99,desktop,Central Denmark Region,1,0
99,desktop,Vastra Gotaland County,1,0
99,mobile,New South Wales,1,0
99,mobile,Victoria,1,0
99,mobile,England,1,0
100,desktop,(not set),1,0
100,mobile,Victoria,1,0
101,desktop,Victoria,2,0
101,desktop,Tokushima Prefecture,1,0
101,mobile,New South Wales,1,0
101,mobile,Queensland,1,0
101,mobile,South Australia,1,0
101,mobile,Victoria,1,0
101,mobile,Western Australia,1,0
101,tablet,New South Wales,1,0
102,desktop,New South Wales,1,0
102,desktop,Queensland,1,0
102,desktop,Victoria,2,0
103,desktop,Queensland,3,0
103,desktop,Western Australia,1,0
103,mobile,New South Wales,4,0
103,mobile,Western Australia,1,0
103,tablet,Western Australia,2,0
104,desktop,Queensland,1,0
104,mobile,(not set),1,0
104,mobile,New South Wales,2,0
